OpenTime;Type;Volume;Symbol;OpenPrice;S/L;T/P;CloseTime;ClosePrice;Commission;Swap;Profit;Comment
2020.09.29 02:09:46;Buy;0.01;EURAUD.;1.64849;;;2020.10.06 23:54:55;1.65289;;;3.13;
2020.09.28 22:09:11;Sell;0.01;EURNZD.;1.77830;;;2020.10.06 23:54:55;1.78302;;;-3.11;
2020.10.02 11:00:13;Sell;0.01;EURCHF.;1.07869;;;2020.10.02 11:41:14;1.07893;;;-0.26;
2020.10.02 10:40:18;Buy;0.01;EURGBP.;0.90636;;;2020.10.02 11:41:14;0.90738;;;1.31;
2020.10.02 06:22:53;Buy;0.01;EURCAD.;1.56040;;;2020.10.02 08:45:26;1.55855;;;-1.39;
2020.10.02 07:41:52;Sell;0.01;EURAUD.;1.63835;;;2020.10.02 08:45:25;1.63625;;;1.51;
2020.10.02 06:25:01;Buy Stop;0.01;EURJPY.;123.565;;;2020.10.02 08:45:25;123.270;;;;cancelled
2020.10.02 06:47:04;Sell;0.01;EURGBP.;0.91051;;;2020.10.02 08:45:25;0.90815;;;3.04;
2020.10.01 13:31:55;Sell;0.01;EURUSD.;1.17591;;;2020.10.01 14:05:47;1.17499;;;0.92;
2020.10.01 14:05:23;Buy;0.01;EURGBP.;0.90929;;;2020.10.01 14:05:47;0.90956;;;0.34;
2020.10.01 12:12:53;Sell;0.01;EURGBP.;0.91263;;;2020.10.01 12:14:26;0.91192;;;0.92;
2020.10.01 11:23:55;Buy;0.01;EURCHF.;1.07818;;;2020.10.01 12:14:26;1.07829;;;0.12;
2020.10.01 08:07:24;Sell;0.01;EURUSD.;1.17400;;;2020.10.01 08:47:55;1.17311;;;0.89;
2020.10.01 07:57:18;Buy;0.01;EURNZD.;1.77044;;;2020.10.01 08:47:55;1.77003;;;-0.27;
2020.09.30 17:03:40;Buy;0.01;EURCHF.;1.07819;;;2020.09.30 17:06:31;1.07778;;;-0.45;
2020.09.30 16:38:57;Sell;0.01;EURUSD.;1.17352;;;2020.09.30 17:06:30;1.17234;;;1.18;
2020.09.28 16:24:15;Sell;0.01;EURNZD.;1.78051;;;2020.09.28 20:08:55;1.77854;;;1.30;
2020.09.28 16:33:25;Sell;0.01;EURNZD.;1.77995;;;2020.09.28 20:08:54;1.77854;;;0.93;
2020.09.25 14:05:54;Sell;0.01;EURAUD.;1.65331;;;2020.09.28 01:14:40;1.65166;;;1.16;
2020.09.25 12:25:00;Buy Stop;0.01;EURUSD.;1.16396;;;2020.09.28 01:14:39;1.16285;;;;cancelled
2020.09.24 01:16:51;Buy;0.01;EURUSD.;1.16699;;;2020.09.25 06:02:04;1.16667;;;-0.32;
2020.09.25 05:04:51;Sell;0.01;EURAUD.;1.65171;;;2020.09.25 06:02:03;1.65112;;;0.42;
2020.09.24 15:02:07;Buy;0.01;EURGBP.;0.91438;;;2020.09.25 06:02:03;0.91449;;;0.14;
2020.09.23 22:00:32;Sell;0.01;EURNZD.;1.77875;;;2020.09.25 06:02:03;1.77817;;;0.38;
